"state","chamber","state_chamber","term","term_start","term_end","term_elec_yr","term_length","n_maj","n_min","chamber_size","legislature_size","num_chamber_comms","num_joint_comms","maj_SLES_median","min_SLES_median","maj_min_SLES_meddiff","maj_above_min_SLES_median","chair_SLES_median","notchair_SLES_median","chair_SLES_meddiff","majfrosh_SLES_meddiff","minfrosh_SLES_meddiff","num_female","share_female","kpb_dem_share","kpb_rep_share","share_dem","partisan_seatshare_diff","term_limits_enacted","term_limits_applied","aj_deny_hearing","aj_deny_report","aj_comm_gatekeep","aj_chamb_vote_comm_appts","aj_majleader_setscal","aj_majcom_setscal","aj_anymaj_setscal","aj_rules_change","SM_maj_median","SM_min_median","SM_median_diff","SM_maj_sd","SM_min_sd","squire_year","squire_index","leg_salary_yr_avg","slength_avg_all","ncsl_staff_year","ncsl_num_staff","ncsl_num_staff_per_leg","maj_party_controls_gov","maj_party_controls_oppo_chamber","unified_gov"
"AK","lower","AK-lower","1993_1994",1993,1994,1992,2,20,20,40,60,9,2,1.08888216268592,0.685708063756467,0.403174098929454,0.85,1.08888216268592,0.685708063756467,0.403174098929454,0.287334792475829,0.245057923917134,9,0.225,0.5,0.45,0.5,0.05,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,1996,0.232,35782.7,107.01,1996,405,6.75,0,0,0
"AK","lower","AK-lower","1995_1996",1995,1996,1994,2,22,19,40,60,9,4,1.26539347224901,0.518550061017096,0.746843411231911,0.818181818181818,1.22638142883578,0.729610306277918,0.496771122557862,0.361516236334891,0.420607299517124,10,0.24390243902439,0.425,0.55,0.414634146341463,0.125,0,0,0,0,0,1,0,1,1,NA,0.732,-0.47,1.202,0.0775732706251434,0.595220293752886,1996,0.232,33864.01,96.92,1996,405,6.75,0,1,0
"AK","lower","AK-lower","1997_1998",1997,1998,1996,2,25,15,40,60,10,2,1.47545379381608,0.221921031386322,1.25353276242976,0.92,1.16512737236401,0.542099386732193,0.623027985631817,-0.0832317031694005,0.273755814966368,5,0.125,0.375,0.625,0.375,0.25,0,0,0,0,0,1,0,1,1,NA,0.727,-0.483,1.21,0.090759685152257,0.515062037666582,1996,0.232,32372.63,88.75,1996,405,6.75,0,1,0
"AK","lower","AK-lower","1999_2000",1999,2000,1998,2,25,15,40,60,17,4,1.188836279948,0.399612365880671,0.789223914067325,0.84,1.188836279948,0.592560266353478,0.596276013594518,-0.591700891829451,0.0305881828639484,8,0.2,0.35,0.65,0.375,0.3,0,0,0,0,0,1,0,1,1,NA,0.682,-0.519,1.201,0.121878121502929,0.435332275406204,2003,0.227,30917.3,89.11,2003,449,7.48333333333333,0,1,0
"AK","lower","AK-lower","2001_2002",2001,2002,2000,2,27,13,40,60,9,4,1.41465126257187,0.310867101698366,1.10378416087351,0.962962962962963,1.31498206466937,0.672903446728097,0.64207861794127,-0.720369316059937,-0.648553325837002,9,0.225,0.325,0.675,0.325,0.35,0,0,0,0,0,1,0,1,1,NA,0.663,-0.674,1.337,0.133224484415445,0.471205658985812,2003,0.227,29334.92,90.32,2003,449,7.48333333333333,0,1,0
"AK","lower","AK-lower","2003_2004",2003,2004,2002,2,28,14,40,60,9,0,1.27579478724235,0.476690656635426,0.799104130606928,0.821428571428571,1.2537961181238,0.623276846257982,0.630519271865813,-0.09557239228121,0.14274229521093,8,0.19047619047619,0.325,0.675,0.30952380952381,0.35,0,0,0,0,0,1,0,1,1,NA,0.662,-0.677,1.339,0.142666156038146,0.468785303193525,2003,0.227,28087.24,89.11,2003,449,7.48333333333333,1,1,1
"AK","lower","AK-lower","2005_2006",2005,2006,2004,2,26,14,40,60,9,0,1.24815411470498,0.357307019512711,0.890847095192266,0.923076923076923,1.29924026844803,0.405352908908372,0.893887359539662,0.273670592067898,0.0235999778315314,8,0.2,0.35,0.65,0.35,0.3,0,0,0,0,0,1,0,1,1,NA,0.693,-0.532,1.225,0.194903010045291,0.474465968522894,2009,0.217,26390.93,115.02,2009,460,7.66666666666667,1,1,1
"AK","lower","AK-lower","2007_2008",2007,2008,2006,2,24,17,40,60,9,0,1.19083648153713,0.604395967273361,0.586440514263769,0.916666666666667,1.26657600981531,0.651539572902417,0.615036436912896,0.461585983720035,-0.210436945454045,10,0.24390243902439,0.35,0.65,0.414634146341463,0.3,0,0,0,0,0,1,0,1,1,NA,0.791,-0.698,1.489,0.198454791624413,0.408928816373434,2009,0.217,24785.9,107.21,2009,460,7.66666666666667,1,1,1
"AK","lower","AK-lower","2009_2010",2009,2010,2008,2,23,18,40,60,10,4,1.07200345776262,0.466125718857881,0.605877738904741,0.91304347826087,1.0321565805502,0.592069818688894,0.440086761861303,0.838906797974452,-0.0614055589266139,10,0.24390243902439,0.45,0.55,0.439024390243902,0.1,0,0,0,0,0,1,0,1,1,NA,0.818,-0.65,1.468,0.224663230686743,0.442372366022881,2009,0.217,37402.93,64.26,2009,460,7.66666666666667,1,0,0
"AK","lower","AK-lower","2011_2012",2011,2012,2010,2,24,16,40,60,10,7,1.1392280308736,0.57227500387301,0.566953027000593,0.75,1.14535956530524,0.722473849345239,0.422885715960004,0.339271995881662,0.589899488184386,10,0.25,0.4,0.6,0.4,0.2,0,0,0,0,0,1,0,1,1,NA,0.755,-0.65,1.405,0.214655727999684,0.389078960083382,2015,0.295522033,48362.5,78.81,2015,513,8.55,1,0,0
"AK","lower","AK-lower","2013_2014",2013,2014,2012,2,25,16,40,60,10,11,1.21704842327454,0.45202622470956,0.765022198564982,0.88,1.04362122071322,0.901094402548638,0.142526818164578,0.357448597638899,0.212190130051532,13,0.317073170731707,NA,NA,0.390243902439024,0.219512195121951,0,0,0,0,0,1,0,1,1,NA,0.786,-0.592,1.378,0.280695772506818,0.451458775100882,2015,0.295522033,46799.65,65.67,2015,513,8.55,1,1,1
"AK","lower","AK-lower","2015_2016",2015,2016,2014,2,23,18,40,60,10,11,1.34784538805531,0.449427968298051,0.898417419757256,0.869565217391304,1.29701734409892,0.667458399191704,0.629558944907213,-0.203015587207279,0.394602241491092,13,0.317073170731707,NA,NA,0.414634146341463,0.146341463414634,0,0,0,0,0,1,0,1,1,NA,0.84,-0.528,1.368,0.337746502165087,0.390531931965111,2015,0.295522033,46086.71,104.29,2015,513,8.55,1,1,1
"AK","lower","AK-lower","2017_2018",2017,2018,2016,2,24,18,40,60,10,0,1.34432992265513,0.425111446407502,0.919218476247631,0.875,1.36328514469155,0.486171181196335,0.877113963495218,0.985085494566157,-0.00426227105013594,13,0.30952380952381,NA,NA,0.452380952380952,0.0476190476190476,0,0,0,0,0,1,0,1,1,NA,0.857,-0.563,1.42,0.326568103023525,0.317084565944756,2015,0.295522033,39351.67,107.86,2015,513,8.55,1,1,1
"AK","upper","AK-upper","1993_1994",1993,1994,1992,2,10,10,20,60,9,2,1.63663032522905,0.548045901514899,1.08858442371415,0.9,1.63663032522905,0.548045901514899,1.08858442371415,-0.704530771082192,0.0930207144648837,4,0.2,0.45,0.5,0.45,0.05,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,1996,0.232,35782.7,107.01,1996,405,6.75,1,0,0
"AK","upper","AK-upper","1995_1996",1995,1996,1994,2,12,8,20,60,9,4,1.1498232864882,0.693613497448714,0.456209789039482,0.75,1.1498232864882,0.693613497448714,0.456209789039482,-0.144203923462499,0.735707889923396,4,0.2,0.4,0.6,0.35,0.2,0,0,0,0,0,1,0,1,1,NA,0.703,-0.969,1.672,0.0889553600206105,0.432606047550624,1996,0.232,33864.01,96.92,1996,405,6.75,0,1,0
"AK","upper","AK-upper","1997_1998",1997,1998,1996,2,13,7,20,60,10,2,1.03379160704809,0.785261885088974,0.248529721959117,0.692307692307692,1.07192767846947,0.462358477257613,0.609569201211852,0.430885512182342,-0.892334387994331,3,0.15,0.35,0.65,0.35,0.3,0,0,0,0,0,1,0,1,1,NA,0.722,-0.994,1.716,0.0766709069073206,0.502312580998484,1996,0.232,32372.63,88.75,1996,405,6.75,0,1,0
"AK","upper","AK-upper","1999_2000",1999,2000,1998,2,14,6,20,60,17,4,1.06557862956416,0.654142817722945,0.411435811841219,0.642857142857143,1.03339439119951,0.507793661695748,0.525600729503762,-1.18868966873369,-0.292698312054394,3,0.15,0.25,0.75,0.3,0.5,0,0,0,0,0,1,0,1,1,NA,0.715,-0.969,1.684,0.0840978051324313,0.284646427131584,2003,0.227,30917.3,89.11,2003,449,7.48333333333333,0,1,0
"AK","upper","AK-upper","2001_2002",2001,2002,2000,2,15,6,20,60,9,4,1.21955472690595,0.598560011759483,0.620994715146465,0.8,1.30475135347923,0.654105461832935,0.650645891646299,0.603529510736836,-0.455314802950533,4,0.19047619047619,0.3,0.7,0.285714285714286,0.4,0,0,0,0,0,1,0,1,1,NA,0.715,-0.781,1.496,0.0797845889086573,0.282214713543232,2003,0.227,29334.92,90.32,2003,449,7.48333333333333,0,1,0
"AK","upper","AK-upper","2003_2004",2003,2004,2002,2,13,9,20,60,9,0,1.29342067562623,0.650195545712114,0.643225129914112,0.692307692307692,1.34804739669367,0.645317788094281,0.702729608599385,0.402963600956753,-0.324452121674951,4,0.181818181818182,0.4,0.6,0.363636363636364,0.2,0,0,0,0,0,1,0,1,1,NA,0.792,-0.793,1.585,0.103227069615382,0.278469543944673,2003,0.227,28087.24,89.11,2003,449,7.48333333333333,1,1,1
"AK","upper","AK-upper","2005_2006",2005,2006,2004,2,12,8,20,60,9,0,1.28754705525966,0.491969860389486,0.795577194870176,0.916666666666667,0.656120965733172,0.578783347698957,0.0773376180342149,-0.668023437556304,0.578783347698957,3,0.15,0.4,0.6,0.4,0.2,0,0,0,0,0,1,0,1,1,NA,0.753,-0.675,1.428,0.152263498461379,0.277904681929746,2009,0.217,26390.93,115.02,2009,460,7.66666666666667,1,1,1
"AK","upper","AK-upper","2007_2008",2007,2008,2006,2,9,11,20,60,9,0,1.46743351677279,0.489678308314898,0.977755208457895,0.888888888888889,0.73205712986397,0.947682455675796,-0.215625325811826,0.185974202833658,-1.35818163639656,3,0.15,0.4,0.6,0.45,0.2,0,0,0,0,0,1,0,1,1,NA,0.71,-0.703,1.413,0.142197540441578,0.301721259584583,2009,0.217,24785.9,107.21,2009,460,7.66666666666667,1,1,1
"AK","upper","AK-upper","2009_2010",2009,2010,2008,2,11,11,20,60,10,4,1.31986058573778,0.589404143148209,0.730456442589575,0.727272727272727,1.38333210389844,0.568035543631986,0.815296560266456,0.399659388056328,-0.55285515217746,3,0.136363636363636,0.5,0.5,0.5,0,0,0,0,0,0,1,0,1,1,NA,NA,NA,NA,NA,NA,2009,0.217,37402.93,64.26,2009,460,7.66666666666667,NA,NA,NA
"AK","upper","AK-upper","2011_2012",2011,2012,2010,2,10,10,20,60,10,7,1.03965871232747,0.48114517948059,0.558513532846883,0.7,0.683644024748699,0.610300916867439,0.0733431078812604,NA,0.167121535519264,4,0.2,0.5,0.5,0.5,0,0,0,0,0,0,1,0,1,1,NA,-0.69,0.681,1.371,NA,NA,2015,0.295522033,48362.5,78.81,2015,513,8.55,NA,NA,NA
"AK","upper","AK-upper","2013_2014",2013,2014,2012,2,13,7,20,60,10,11,1.00745414391033,0.475938574243155,0.531515569667172,0.846153846153846,1.24950968674358,0.588487789234258,0.661021897509321,0.756765570935902,-0.0277474533148383,4,0.2,NA,NA,0.35,0.3,0,0,0,0,0,1,0,1,1,NA,0.805,-0.953,1.758,0.313245918958171,0.307079678009801,2015,0.295522033,46799.65,65.67,2015,513,8.55,1,1,1
"AK","upper","AK-upper","2015_2016",2015,2016,2014,2,14,6,20,60,10,11,0.79003685049528,0.651651761168366,0.138385089326914,0.571428571428571,0.874475137981262,0.651651761168366,0.222823376812896,-0.609257693926165,NA,5,0.25,NA,NA,0.3,0.4,0,0,0,0,0,1,0,1,1,NA,0.696,-0.953,1.649,0.300180517664475,0.319573023273885,2015,0.295522033,46086.71,104.29,2015,513,8.55,1,1,1
"AK","upper","AK-upper","2017_2018",2017,2018,2016,2,15,6,20,60,10,0,1.16013235071685,0.450219928496677,0.709912422220176,0.8,1.13254372123629,0.496351922780661,0.636191798455625,0.432910053565978,-0.092263988567968,6,0.285714285714286,NA,NA,0.285714285714286,0.428571428571429,0,0,0,0,0,1,0,1,1,NA,0.725,-0.953,1.678,0.342660820178287,0.459377349523945,2015,0.295522033,39351.67,107.86,2015,513,8.55,1,0,0
"AL","lower","AL-lower","1999_2002",1999,2002,1998,4,71,38,105,140,23,0,0.896380132300704,0.694740995180769,0.201639137119934,0.549295774647887,0.955639068839345,0.765943958053968,0.189695110785377,0.174037584101638,0.420505569288298,8,0.073394495412844,0.657142857142857,0.342857142857143,0.651376146788991,0.314285714285714,0,0,1,1,1,0,0,1,1,NA,-0.16,0.847,1.007,0.328918502126512,0.253270336889014,2003,0.131,526.94,41,2003,496,3.54285714285714,1,1,1
"AL","lower","AL-lower","2003_2006",2003,2006,2002,4,65,44,105,140,24,0,0.88222240606364,0.734624224344441,0.147598181719199,0.569230769230769,0.854734458807436,0.849895613367401,0.00483884544003521,0.450425795818517,0.227523743931607,12,0.110091743119266,0.60952380952381,0.39047619047619,0.596330275229358,0.21904761904762,0,0,1,1,1,0,0,1,1,NA,-0.169,0.831,1,0.345103538688978,0.259603736519481,2009,0.078,464,37.5,2009,550,3.92857142857143,0,1,0
"AL","lower","AL-lower","2007_2010",2007,2010,2006,4,65,45,105,140,25,0,0.923400040863825,0.783285184904753,0.140114855959072,0.6,0.978902504491919,0.854402398218709,0.12450010627321,0.641823078970782,0.242208368265094,16,0.145454545454545,0.59047619047619,0.40952380952381,0.590909090909091,0.18095238095238,0,0,1,1,1,0,0,1,1,NA,-0.243,0.859,1.102,0.302023858787615,0.154793215360606,2009,0.078,584.42,46.64,2009,550,3.92857142857143,0,1,0
"AL","lower","AL-lower","2011_2014",2011,2014,2010,4,73,40,105,140,25,5,1.03615160576862,0.561029512511935,0.475122093256686,0.767123287671233,1.41012655791987,0.769549857565927,0.640576700353943,0.41945707709697,0.465545139650198,16,0.141592920353982,0.40952380952381,0.59047619047619,0.353982300884956,0.18095238095238,0,0,1,1,1,0,0,1,1,NA,0.865,-0.497,1.362,0.176710928939169,0.279849447342965,2015,0.175048243,693.9,50.25,2015,408,2.91428571428571,1,1,1
"AL","lower","AL-lower","2015_2018",2015,2018,2014,4,75,36,105,140,32,0,1.00058287323404,0.54359515780865,0.456987715425387,0.813333333333333,1.16435219569627,0.763928448397747,0.400423747298523,0.0538989374513849,0.360887503524489,16,0.144144144144144,NA,NA,0.324324324324324,0.351351351351351,0,0,1,1,1,0,0,1,1,NA,0.875,-0.504,1.379,0.147863644787279,0.211758366353566,2015,0.175048243,41616.76,69,2015,408,2.91428571428571,1,1,1
"AL","upper","AL-upper","1999_2002",1999,2002,1998,4,24,11,35,140,24,0,1.00720081487241,0.544876275465526,0.462324539406888,0.916666666666667,0.997462401792944,0.695882451044031,0.301579950748913,-0.0238445222196584,0.259410399129884,2,0.0571428571428571,0.657142857142857,0.342857142857143,0.685714285714286,0.314285714285714,0,0,1,1,1,0,0,1,1,NA,-0.161,1.025,1.186,0.575754570109253,0.254177690920772,2003,0.131,526.94,41,2003,496,3.54285714285714,1,1,1
"AL","upper","AL-upper","2003_2006",2003,2006,2002,4,26,10,35,140,24,0,0.980622239448811,0.580885667040121,0.399736572408689,0.730769230769231,0.858457728870157,0.870948538185699,-0.0124908093155423,0.263552069548048,-0.323154232692761,3,0.0833333333333333,0.714285714285714,0.285714285714286,0.722222222222222,0.428571428571428,0,0,1,1,1,0,0,1,1,NA,-0.311,1.022,1.333,0.559587007952496,0.198961159577451,2009,0.078,464,37.5,2009,550,3.92857142857143,0,1,0
