"pers_id","cntry","NUTS1","NUTS2","NUTS3","gender","age","educ","inc_dec","migbck","rur","rur_cont","plid","urid","rurid","lr","immi","resbio","res","thermo.in","thermo.out","int.in","open.in","hon.in","self.in","hypo.in","int.out","open.out","hon.out","self.out","hypo.out","eco","rep1","rep2","cult1","cult2","AP_Wag","galtan19","galtan23","family23","reg_unemp","pop_delta","popdens_n3","EQI"
1,"DK","DK0","DK04","DK041","male",24,"Low",NA,"No","urban","Very urban",7,7,5,4,0,"A big city","A big city",50,49,4,2,4,4,2,1,4,4,2,4,4,4,1,3,1,16.9378274876089,5,5.42857,"socialist",5.4,12.6,61.1,1.941
2,"DK","DK0","DK03","DK031","female",40,"Low",4,"No","urban","Rather urban",6,5,3,5,7,"A country village","A town or small city",65,50,3,4,3,4,3,2,4,4,2,2,2,3,2,3,2,22.2396043130268,5,5.42857,"socialist",5.2,7.3,146.2,1.856
3,"DK","DK0","DK02","DK022","male",66,"High",7,"Yes","urban","Very urban",10,7,8,4,8,"A big city","A town or small city",85,95,4,4,3,3,4,4,4,4,3,2,1,5,1,2,1,22.4552889092971,5,5.42857,"socialist",4.6,7.5,93.3,1.67
4,"DK","DK0","DK02","DK022","male",75,"High",6,"No","urban","Rather urban",10,6,8,4,5,"The suburbs or outskirts of a big city","A country village",52,76,3,2,2,4,3,3,4,4,2,3,1,3,2,3,1,20.8779788293791,5,5.42857,"socialist",4.6,7.5,93.3,1.67
5,"DK","DK0","DK01","DK013","female",31,"High",NA,"No","urban","Very urban",10,6,9,5,8,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",57,50,4,3,3,4,3,4,4,4,4,3,3,3,3,3,3,26.0007692193904,5,5.42857,"socialist",5.2,12.7,344.4,1.557
6,"DK","DK0","DK03","DK032","female",65,"Low",NA,"No","urban","Very urban",10,5,5,0,1,"A big city","The suburbs or outskirts of a big city",80,80,4,4,3,3,3,4,3,4,3,3,4,4,4,2,4,37.8887846202541,5,5.42857,"socialist",5.2,7.3,84.4,1.856
7,"DK","DK0","DK01","DK012","female",41,"Low",2,"No","urban","Very urban",10,8,8,2,8,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",89,90,4,4,3,3,3,4,2,3,3,3,4,4,3,4,3,20.9114801006528,5,5.42857,"socialist",5.2,12.7,1665,1.557
8,"DK","DK0","DK01","DK012","female",35,"Low",1,"No","urban","Very urban",10,1,8,10,1,"The suburbs or outskirts of a big city","The suburbs or outskirts of a big city",36,85,4,1,1,5,4,3,5,4,2,1,4,3,4,3,4,29.2111280165625,5,5.42857,"socialist",5.2,12.7,1665,1.557
9,"DK","DK0","DK04","DK042","female",68,"Low",4,"No","urban","Very urban",10,6,7,10,5,"A town or small city","A town or small city",93,76,4,4,4,4,3,4,4,4,4,3,3,3,3,3,3,21.0893337969695,5,5.42857,"socialist",5.4,12.6,156.5,1.941
10,"DK","DK0","DK04","DK042","female",62,"Low",9,"No","rural","Very rural",8,7,8,6,5,"The suburbs or outskirts of a big city","A farm or home in the countryside",54,54,3,3,4,3,1,3,3,4,3,1,3,4,4,3,2,18.7053468291823,5,5.42857,"socialist",5.4,12.6,156.5,1.941
11,"DK","DK0","DK01","DK013","male",52,"High",4,"No","urban","Very urban",7,7,5,4,5,"A town or small city","A town or small city",63,69,4,3,3,4,2,4,4,4,3,2,4,3,2,2,1,28.4190077237049,5,5.42857,"socialist",5.2,12.7,344.4,1.557
12,"DK","DK0","DK05","DK050","female",45,"Low",8,"No","urban","Very urban",10,2,7,5,0,"A country village","A big city",63,61,3,4,3,4,4,4,4,4,3,2,3,3,3,3,3,10.8554133960895,5,5.42857,"socialist",4.7,4.9,76.5,2.104
13,"DK","DK0","DK04","DK042","male",68,"High",NA,"No","urban","Very urban",10,6,9,2,2,"A country village","A big city",41,79,3,2,2,5,5,3,4,5,2,2,3,3,1,3,1,30.0805585054533,5,5.42857,"socialist",5.4,12.6,156.5,1.941
14,"DK","DK0","DK03","DK032","female",30,"High",6,"Yes","rural","Very rural",7,3,7,4,6,"A country village","A country village",50,50,5,5,5,5,5,5,5,5,5,5,4,4,4,4,3,15.2646650798503,5,5.42857,"socialist",5.2,7.3,84.4,1.856
15,"DK","DK0","DK03","DK032","female",37,"Low",NA,"Yes","urban","Rather urban",7,6,6,0,9,"A town or small city","A town or small city",57,63,4,3,3,4,3,4,4,4,4,4,4,3,4,4,3,6.9462219947249,5,5.42857,"socialist",5.2,7.3,84.4,1.856
16,"DK","DK0","DK03","DK032","female",61,"Low",1,"No","urban","Rather urban",8,5,5,3,5,"A big city","A town or small city",78,80,3,4,3,4,3,3,2,4,3,1,3,2,1,1,1,26.8261066873298,5,5.42857,"socialist",5.2,7.3,84.4,1.856
17,"DK","DK0","DK01","DK011","female",35,"Low",1,"Yes","urban","Very urban",10,1,1,4,10,"A town or small city","A town or small city",50,99,3,1,4,3,3,3,3,3,3,3,5,5,4,1,5,39.1760130692239,5,5.42857,"socialist",5.2,12.7,4578,1.557
18,"DK","DK0","DK01","DK011","male",71,"Low",6,"No","urban","Very urban",9,7,7,4,6,"A town or small city","A big city",51,50,3,4,4,2,1,3,3,4,2,1,4,4,3,4,3,15.4275727189989,5,5.42857,"socialist",5.2,12.7,4578,1.557
19,"DK","DK0","DK05","DK050","female",56,"Low",6,"No","urban","Rather urban",10,7,7,10,4,"A town or small city","A town or small city",78,86,4,3,3,4,4,4,4,4,2,2,2,4,2,2,4,26.9139369100843,5,5.42857,"socialist",4.7,4.9,76.5,2.104
20,"DK","DK0","DK05","DK050","female",76,"Low",NA,"No","rural","Very rural",7,7,8,7,5,"A town or small city","A country village",66,59,5,4,5,1,1,5,2,2,5,4,4,5,5,3,4,24.9110417285187,5,5.42857,"socialist",4.7,4.9,76.5,2.104
21,"DK","DK0","DK05","DK050","male",65,"Low",5,"No","rural","Rather rural",10,5,5,5,5,"A farm or home in the countryside","A town or small city",70,70,3,3,3,3,3,3,3,3,3,3,3,3,3,3,4,8,5,5.42857,"socialist",4.7,4.9,76.5,2.104
22,"DK","DK0","DK02","DK021","male",78,"High",NA,"No","rural","Rather rural",2,5,5,2,5,"A town or small city","A country village",50,50,3,3,3,3,3,3,3,3,3,3,1,1,1,1,1,28.5874098162111,5,5.42857,"socialist",4.6,7.5,318.1,1.67
23,"DK","DK0","DK03","DK032","female",69,"Low",8,"No","rural","Very rural",10,8,9,8,8,"A farm or home in the countryside","A country village",90,89,5,4,5,4,1,5,4,4,4,1,4,5,4,5,5,32.781854737034,5,5.42857,"socialist",5.2,7.3,84.4,1.856
