treatment,treatment_binary,fire_judges,disobey_justice_2,overthrow_institutions,power_institutions,anti_democratic_index,strong_leader,check_corruption,angry,scared,optimistic,nervous,male,age,socioeconomic_level,political_interest,pres_approval,region,morena,nonpartisan,otherpartisan
Trash-talking,1,3,2,3,4,3,3,8,2,2,2,2,0,28,5,2,3,2,1,0,0
Control,0,5,4,5,5,4.75,5,10,1,1,4,1,1,57,2,4,5,3,1,0,0
Control,0,1,1,5,1,2,5,10,3,3,3,5,1,47,5,3,2,5,0,1,0
Trash-talking,1,4,4,4,3,3.75,3,10,4,4,2,3,0,24,3,2,4,2,0,1,0
Trash-talking,1,1,1,2,1,1.25,2,6,4,3,1,2,1,50,2,4,2,6,0,0,0
Trash-talking,1,4,2,4,4,3.5,1,9,2,2,3,3,0,25,5,3,4,5,0,1,0
Control,0,3,3,3,3,3,3,6,2,1,1,1,0,23,5,2,1,3,0,1,0
Trash-talking,1,1,1,2,1,1.25,1,3,3,1,1,1,1,54,4,3,1,6,0,1,0
Control,0,1,2,1,1,1.25,3,10,3,4,1,3,0,62,3,2,1,2,0,0,1
Control,0,3,2,4,3,3,4,7,3,2,3,2,0,57,3,3,3,3,1,0,0
Control,0,3,3,4,4,3.5,5,10,3,4,1,1,0,40,5,3,4,6,0,0,0
Control,0,3,2,2,4,2.75,5,7,1,2,5,2,0,31,3,4,5,4,1,0,0
Control,0,4,3,5,5,4.25,5,10,2,1,3,1,1,44,3,2,4,4,0,1,0
Trash-talking,1,4,2,4,2,3,3,10,3,3,3,3,1,63,1,4,4,6,0,1,0
Control,0,5,5,5,5,5,5,10,5,5,1,4,0,55,4,3,5,2,1,0,0
Control,0,3,4,4,3,3.5,5,9,1,2,4,1,0,40,5,3,4,3,0,1,0
Trash-talking,1,4,2,4,2,3,4,9,4,4,1,2,1,33,1,3,2,6,0,1,0
Control,0,2,1,5,4,3,5,10,4,2,3,2,1,25,5,1,5,2,0,1,0
Trash-talking,1,5,2,3,5,3.75,5,10,5,5,2,5,1,56,7,2,4,5,0,1,0
Control,0,2,3,2,2,2.25,3,7,1,2,4,2,0,47,3,3,4,6,0,0,1
Control,0,1,1,5,1,2,3,10,5,4,1,2,1,60,3,4,1,6,0,0,1
Trash-talking,1,5,1,5,5,4,5,10,5,5,5,5,1,40,3,1,5,1,1,0,0
Trash-talking,1,4,1,5,4,3.5,4,10,4,3,3,2,1,49,1,4,4,2,1,0,0
Control,0,3,3,4,4,3.5,4,7,3,3,3,3,1,26,3,3,4,2,0,1,0
Trash-talking,1,3,3,3,3,3,3,8,3,4,3,2,0,27,5,2,4,5,1,0,0
Trash-talking,1,1,4,2,2,2.25,3,8,1,1,1,1,0,26,3,2,3,2,0,1,0
Trash-talking,1,3,4,3,3,3.25,4,10,4,2,1,2,0,63,2,4,4,1,1,0,0
Trash-talking,1,4,3,2,5,3.5,4,6,3,3,4,3,0,35,6,1,2,1,1,0,0
Trash-talking,1,2,2,4,3,2.75,2,8,2,2,1,1,1,43,5,1,2,3,0,1,0
Trash-talking,1,1,1,2,1,1.25,3,10,4,2,1,3,0,50,5,3,1,6,0,0,1
Trash-talking,1,3,2,3,2,2.5,3,6,3,2,3,3,0,24,5,3,2,5,0,0,1
Control,0,3,5,4,2,3.5,4,9,2,1,4,1,1,38,1,4,5,3,1,0,0
Trash-talking,1,3,4,4,4,3.75,5,10,4,2,1,2,1,43,2,2,4,2,1,0,0
Trash-talking,1,4,5,5,3,4.25,5,10,1,1,3,1,1,37,6,3,5,1,1,0,0
Control,0,4,2,3,4,3.25,3,10,2,4,5,3,0,35,5,3,3,6,0,1,0
Control,0,1,4,4,2,2.75,4,10,1,1,1,1,0,23,4,2,2,1,0,1,0
Control,0,3,3,4,3,3.25,3,9,2,3,2,1,0,39,2,2,4,6,0,1,0
Trash-talking,1,3,3,4,3,3.25,4,10,5,5,3,5,1,41,2,4,4,1,0,1,0
Control,0,2,2,3,3,2.5,4,8,1,1,5,1,1,53,5,2,4,4,1,0,0
Trash-talking,1,4,4,5,3,4,3,10,5,2,4,1,0,43,6,2,4,4,1,0,0
Control,0,2,2,2,2,2,4,8,4,1,2,2,0,23,5,3,3,4,0,0,0
Trash-talking,1,3,3,4,1,2.75,3,6,3,3,4,5,0,26,5,3,2,2,0,0,0
Control,0,1,4,4,3,3,4,9,1,1,1,1,0,21,2,2,3,3,0,1,0
Control,0,1,1,1,1,1,2,3,1,1,3,1,1,70,3,4,1,4,0,0,1
Control,0,3,3,5,4,3.75,4,10,3,2,4,2,0,26,4,4,4,1,1,0,0
Control,0,3,4,2,3,3,4,5,1,1,3,1,0,21,4,2,4,2,0,1,0
Trash-talking,1,5,4,5,3,4.25,4,10,4,4,4,4,0,46,6,3,1,4,0,0,0
Control,0,1,1,2,1,1.25,2,10,5,4,1,4,0,45,1,3,1,6,0,0,1
Control,0,2,4,4,2,3,3,9,3,2,3,3,1,52,4,3,4,3,1,0,0
Control,0,1,2,4,2,2.25,4,8,1,1,3,1,0,45,3,3,2,2,0,0,1
Trash-talking,1,5,4,5,5,4.75,5,10,1,1,4,1,1,39,5,4,5,1,1,0,0
Trash-talking,1,5,4,3,4,4,3,7,4,3,3,3,0,20,5,2,5,3,0,0,0
Control,0,3,4,4,4,3.75,5,10,2,3,4,3,0,43,5,3,5,5,1,0,0
