ResponseId,b1_pid3,b1_pid3_t,b1_pid7,benefits_wrong_deny,benefits_wrong_receive,benefits_wrong_apply,assign_abstract_fraud_orde,abstract_wrong_count,abstract_wrong_not_count,abstract_wrong_not_vote,abstract_frequency_count,abstract_frequency_not_cou,abstract_frequency_not_vot,assign_vignette,assign_vignette_support,assign_vignette_wording,wording_wrong_serious,vignette_uncounted,vignette_forgone,vignette_fraudulent,elections_mistake,fraud_democrat_loses,fraud_republican_loses,ballot_security,vote_secrecy,assign_vote_accuracy_order,mail_in_vote_accuracy,in_person_vote_accuracy,weight,Party,vignette_error,vignette_support,vignette_wording,vignette_dv,worse_mistake,vignette_interaction,own_party,error_hurt
1,2,__NA__,6,7,4,1,2,7,7,5,10,1,20,1,2,2,2,7,,,1,2,2,3,1,1,3,3,6.43622365857457,Republican,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,1,1
2,2,__NA__,6,7,5,7,2,3,5,7,5,5,1,2,1,2,2,,5,,2,3,3,3,2,1,1,1,0.817078685024356,Republican,Forgone,Biden,serious,0.666666666666667,Fraudulent,Forgone-Biden,0,0
3,5,__NA__,3,6,6,6,2,5,6,6,5,5,5,3,2,2,2,,,5,1,5,5,6,3,1,2,2,6.43622365857457,Democrat,Fraudulent,Trump,serious,0.666666666666667,Uncounted,Fraudulent-Trump,0,1
4,3,__NA__,3,6,7,6,1,6,6,7,0,0,0,2,1,2,2,,5,,1,3,3,2,3,2,1,1,0.75993624539776,Democrat,Forgone,Biden,serious,0.666666666666667,Uncounted,Forgone-Biden,1,1
5,2,__NA__,6,7,7,7,1,5,6,7,25,30,0,3,2,1,1,,,5,2,4,4,6,9,2,2,2,0.306358854353888,Republican,Fraudulent,Trump,wrong,0.666666666666667,Fraudulent,Fraudulent-Trump,1,0
6,2,__NA__,7,6,7,6,1,7,7,7,50,10,0,1,2,2,2,7,,,1,4,2,4,5,1,3,2,0.488261245725422,Republican,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,1,1
7,3,__NA__,3,6,7,7,2,7,7,7,0,5,5,3,2,2,2,,,7,1,3,4,2,3,1,2,1,0.216643182463389,Democrat,Fraudulent,Trump,serious,1,Uncounted,Fraudulent-Trump,0,1
8,3,__NA__,5,5,7,5,2,7,6,6,51,49,0,1,2,2,2,5,,,2,3,1,5,5,1,4,2,0.788715902236677,Republican,Uncounted,Trump,serious,0.666666666666667,Fraudulent,Uncounted-Trump,1,1
9,2,__NA__,7,6,6,6,1,7,7,6,10,20,0,2,2,1,1,,7,,2,4,2,4,4,1,3,2,0.449662004707005,Republican,Forgone,Trump,wrong,1,Fraudulent,Forgone-Trump,1,1
10,3,__NA__,3,7,7,6,1,7,7,7,0,0,0,1,1,2,2,7,,,1,1,4,3,5,2,2,2,0.0487355668290062,Democrat,Uncounted,Biden,serious,1,Uncounted,Uncounted-Biden,1,1
11,1,__NA__,2,7,7,7,2,7,7,7,1,1,1,2,2,2,2,,7,,2,1,4,3,3,2,1,1,0.699747867640795,Democrat,Forgone,Trump,serious,1,Fraudulent,Forgone-Trump,0,0
12,2,__NA__,7,3,7,3,2,7,1,7,85,0,0,1,2,1,1,7,,,2,4,4,4,3,2,4,2,1.23431014891239,Republican,Uncounted,Trump,wrong,1,Fraudulent,Uncounted-Trump,1,1
13,2,__NA__,6,5,7,2,2,7,5,1,15,1,0,3,2,2,2,,,7,2,4,1,5,9,1,4,2,0.580943236861473,Republican,Fraudulent,Trump,serious,1,Fraudulent,Fraudulent-Trump,1,0
14,4,Socialist,3,7,1,7,2,2,7,7,0,0,10,3,1,2,2,,,2,1,3,4,2,2,2,1,1,0.551855837606716,Democrat,Fraudulent,Biden,serious,0.166666666666667,Uncounted,Fraudulent-Biden,1,0
15,3,__NA__,5,7,7,7,1,7,7,7,10,10,10,2,2,1,1,,5,,1,4,1,3,5,2,3,1,0.669448375534278,Republican,Forgone,Trump,wrong,0.666666666666667,Uncounted,Forgone-Trump,1,1
16,1,__NA__,1,7,7,7,1,1,1,3,0,0,0,1,2,1,1,2,,,2,4,4,2,3,2,1,1,0.335073724440875,Democrat,Uncounted,Trump,wrong,0.166666666666667,Fraudulent,Uncounted-Trump,0,0
17,3,__NA__,3,7,7,7,2,7,7,7,0,0,12,1,2,2,2,7,,,1,2,4,1,2,2,1,1,1.32224899265624,Democrat,Uncounted,Trump,serious,1,Uncounted,Uncounted-Trump,0,0
18,1,__NA__,1,5,5,5,1,5,5,5,0,0,5,1,1,2,2,6,,,1,1,4,2,3,1,1,1,0.336784408105303,Democrat,Uncounted,Biden,serious,0.833333333333333,Uncounted,Uncounted-Biden,1,1
19,3,__NA__,3,7,5,6,1,6,6,7,0,0,33,2,2,1,1,,4,,1,4,4,1,4,2,1,1,0.373659341792272,Democrat,Forgone,Trump,wrong,0.5,Uncounted,Forgone-Trump,0,0
20,1,__NA__,2,6,7,7,2,7,7,7,0,0,1,2,1,1,1,,7,,1,4,4,2,4,2,1,1,0.550026401375188,Democrat,Forgone,Biden,wrong,1,Uncounted,Forgone-Biden,1,1
21,2,__NA__,7,4,7,3,2,7,7,7,80,20,20,2,2,1,1,,5,,1,4,1,5,9,2,4,4,0.936176006651375,Republican,Forgone,Trump,wrong,0.666666666666667,Uncounted,Forgone-Trump,1,1
22,2,__NA__,7,7,4,7,2,7,5,5,25,25,20,3,3,1,1,,,4,1,2,1,3,3,2,3,2,0.340821981920725,Republican,Fraudulent,None,wrong,0.5,Uncounted,Fraudulent-None,0,1
23,1,__NA__,1,7,7,7,1,7,7,7,0,0,100,2,3,1,1,,7,,1,4,4,1,5,2,1,1,0.465482313147587,Democrat,Forgone,None,wrong,1,Uncounted,Forgone-None,0,0
