"","ID","task","profile","Affiliation.of.the.terrorist","Legal.status.of.the.terrorist","Terrorist.tactic","Motivation.for.the.terrorist.attack","Number.of.deaths","Probability.of.the.attack","selected","progress","finished","durationinseconds"
"1",1,5,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,143
"2",1,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","10","0.1%",1,100,1,143
"3",1,3,1,"Lone actor - operating alone","Citizen","Stabbing","Jihadism","1","0.1%",0,100,1,143
"4",1,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","100","0.1%",0,100,1,143
"5",1,1,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","0.1%",0,100,1,143
"6",1,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,143
"7",1,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","10","1%",1,100,1,143
"8",1,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","10","1%",1,100,1,143
"9",1,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,143
"10",1,2,2,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","1","1%",0,100,1,143
"11",2,2,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","1","10%",0,100,1,306
"12",2,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Right-wing extremism","1","1%",0,100,1,306
"13",2,2,2,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","100","10%",1,100,1,306
"14",2,1,1,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","10","1%",1,100,1,306
"15",2,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",1,100,1,306
"16",2,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","1","0.1%",0,100,1,306
"17",2,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","10","1%",0,100,1,306
"18",2,3,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","10%",1,100,1,306
"19",2,5,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","1","1%",0,100,1,306
"20",2,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","10","1%",1,100,1,306
"21",3,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","1%",0,100,1,203
"22",3,5,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Jihadism","1","0.1%",0,100,1,203
"23",3,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",0,100,1,203
"24",3,3,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","1","1%",0,100,1,203
"25",3,4,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","1","10%",0,100,1,203
"26",3,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",1,100,1,203
"27",3,5,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Jihadism","100","0.1%",1,100,1,203
"28",3,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Stabbing","Jihadism","10","10%",1,100,1,203
"29",3,1,1,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","10","0.1%",1,100,1,203
"30",3,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","100","1%",1,100,1,203
"31",4,4,2,"Lone actor - operating alone","Immigrant","Shooting","Jihadism","1","10%",0,100,1,248
"32",4,5,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",0,100,1,248
"33",4,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Jihadism","100","0.1%",1,100,1,248
"34",4,1,2,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","10%",0,100,1,248
"35",4,2,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","0.1%",0,100,1,248
"36",4,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","100","0.1%",1,100,1,248
"37",4,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",1,100,1,248
"38",4,3,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","0.1%",0,100,1,248
"39",4,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","100","0.1%",1,100,1,248
"40",4,5,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","100","0.1%",1,100,1,248
"41",5,2,1,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Jihadism","100","1%",1,100,1,199
"42",5,5,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","1","10%",0,100,1,199
"43",5,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",1,100,1,199
"44",5,1,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","10","0.1%",1,100,1,199
"45",5,4,1,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","1%",0,100,1,199
"46",5,1,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Jihadism","10","0.1%",0,100,1,199
"47",5,3,2,"Lone actor - operating alone","Citizen","Shooting","Jihadism","1","0.1%",0,100,1,199
"48",5,5,2,"Member of a terror cell - operating within an organized group","Immigrant","Suicidal bombing","Right-wing extremism","1","10%",1,100,1,199
"49",5,4,2,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","10%",1,100,1,199
"50",5,2,2,"Lone actor - operating alone","Immigrant","Stabbing","Right-wing extremism","1","1%",0,100,1,199
"51",6,2,2,"Member of a terror cell - operating within an organized group","Citizen","Non-suicidal bombing","Right-wing extremism","100","0.1%",NA,19,0,26
"52",6,4,1,"Member of a terror cell - operating within an organized group","Citizen","Stabbing","Jihadism","10","10%",NA,19,0,26
"53",6,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","0.1%",NA,19,0,26
"54",6,1,2,"Lone actor - operating alone","Immigrant","Stabbing","Jihadism","1","10%",NA,19,0,26
"55",6,2,1,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Jihadism","100","0.1%",NA,19,0,26
"56",6,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","10%",NA,19,0,26
"57",6,5,1,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","1%",NA,19,0,26
"58",6,4,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","1","10%",NA,19,0,26
"59",6,5,2,"Lone actor - operating alone","Immigrant","Suicidal bombing","Jihadism","1","10%",NA,19,0,26
"60",6,3,1,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","1","1%",NA,19,0,26
"61",7,5,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Right-wing extremism","1","1%",0,100,1,191
"62",7,2,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,191
"63",7,2,2,"Member of a terror cell - operating within an organized group","Citizen","Vehicle-ramming attack","Right-wing extremism","100","1%",0,100,1,191
"64",7,3,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","1%",1,100,1,191
"65",7,5,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Jihadism","100","1%",1,100,1,191
"66",7,4,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","10","0.1%",0,100,1,191
"67",7,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Jihadism","10","10%",1,100,1,191
"68",7,3,1,"Lone actor - operating alone","Immigrant","Non-suicidal bombing","Right-wing extremism","10","0.1%",0,100,1,191
"69",7,1,2,"Lone actor - operating alone","Immigrant","Shooting","Right-wing extremism","100","0.1%",0,100,1,191
"70",7,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","100","10%",1,100,1,191
"71",8,1,2,"Lone actor - operating alone","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","0.1%",NA,24,0,51
"72",8,1,1,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","10","10%",NA,24,0,51
"73",8,4,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Right-wing extremism","1","1%",NA,24,0,51
"74",8,2,1,"Lone actor - operating alone","Citizen","Stabbing","Right-wing extremism","10","1%",NA,24,0,51
"75",8,4,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","1","1%",NA,24,0,51
"76",8,2,2,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Jihadism","10","1%",NA,24,0,51
"77",8,5,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","10","1%",NA,24,0,51
"78",8,3,1,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","1","10%",NA,24,0,51
"79",8,3,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Jihadism","10","1%",NA,24,0,51
"80",8,5,2,"Lone actor - operating alone","Citizen","Shooting","Right-wing extremism","100","1%",NA,24,0,51
"81",9,2,2,"Lone actor - operating alone","Citizen","Non-suicidal bombing","Right-wing extremism","100","10%",NA,24,0,33
"82",9,3,1,"Lone actor - operating alone","Citizen","Suicidal bombing","Jihadism","10","1%",NA,24,0,33
"83",9,4,1,"Member of a terror cell - operating within an organized group","Citizen","Shooting","Jihadism","1","1%",NA,24,0,33
"84",9,1,2,"Member of a terror cell - operating within an organized group","Immigrant","Shooting","Right-wing extremism","1","10%",NA,24,0,33
"85",9,1,1,"Member of a terror cell - operating within an organized group","Immigrant","Non-suicidal bombing","Right-wing extremism","100","10%",NA,24,0,33
"86",9,3,2,"Lone actor - operating alone","Citizen","Vehicle-ramming attack","Jihadism","100","10%",NA,24,0,33
"87",9,4,2,"Member of a terror cell - operating within an organized group","Immigrant","Vehicle-ramming attack","Right-wing extremism","1","10%",NA,24,0,33
"88",9,2,1,"Member of a terror cell - operating within an organized group","Citizen","Suicidal bombing","Right-wing extremism","10","0.1%",NA,24,0,33
