date,region,bono,urbrur,con_name,postJulorbi,postJulorbi_donut,postJulorbi3days,postJulorbi2days,duringJulorbi,age,gender,education,ethnicity,urbrur_from,remittance_quota,poverty_index,trust_pres,trust_police,trust_parl,trust_officials,trust_ec,trust_rel,trust_neighbours,trust_others,performance_pres,performance_mp,handle_economy,handle_inflation,handle_health,handle_education,handle_corruption,vote2020_inc,gov_bin,opp_bin,dk_bin,nv_bin,vote_intention,vote_intention_inc,socmedia_week,discuss_politics_bin,time_trend,npp_share,ndc_share,margin_raw,margin,npp_win,govt_stronghold
2023-09-22,Greater Accra,0,Urban,Okaikwei North,1,,,,1,60,Male,Primary,1,Urban,0,1.66666666666667,1,3,1,2,1,3,1,1,2,1,3,1,4,4,1,Non-voter,0,0,0,1,Opp,0,0,0,5,49.87,49.46,0.409999999999997,0.41,1,0
2023-09-24,Bono,1,Rural,Jaman North,1,1,1,1,0,39,Female,None,1,Rural,1,1.16666666666667,3,2,3,4,3,3,2,2,3,3,2,1,3,3,,Opp,0,1,0,0,Opp,0,0,0,7,47.03,50.96,-3.93,3.93,0,0
2023-09-19,Bono,1,Rural,Wenchi,0,0,0,0,0,58,Male,None,95,Rural,1,1.33333333333333,3,3,3,3,,4,2,2,2,3,3,1,2,3,,DKs,0,0,1,0,Opp,0,0,0,2,49.55,49,0.549999999999997,0.55,1,0
2023-09-24,Bono,1,Rural,Dormaa East,1,1,1,1,0,27,Female,Primary,1,Urban,0,0.4,2,2,3,3,2,3,2,2,2,2,2,1,2,4,2,DKs,0,0,1,0,Opp,0,0,1,7,66.4,33.42,32.98,32.98,1,1
2023-09-22,Bono,1,Rural,Dormaa Central,1,,,,1,27,Female,Secondary,1,Rural,1,0.666666666666667,2,2,3,2,1,3,2,2,2,4,2,1,2,2,2,Govt,1,0,0,0,Opp,0,1,0,5,59.6,39.28,20.32,20.32,1,1
2023-09-21,Bono,1,Rural,Dormaa West,,,,,1,19,Male,Secondary,1,Rural,0,0,2,2,2,3,1,4,3,2,2,2,2,1,2,3,1,Non-voter,0,0,0,1,Opp,0,0,1,4,45.49,53.64,-8.15,8.15,0,0
2023-09-26,Bono,1,Urban,Sunyani East,1,1,1,,0,18,Male,Secondary,1,Urban,0,0,1,2,1,2,2,4,4,4,2,2,2,2,2,1,1,Non-voter,0,0,0,1,Opp,0,1,0,9,65.09,34.01,31.08,31.08,1,1
2023-09-26,Bono,1,Rural,Sunyani West,1,1,1,,0,27,Female,Primary,1,Rural,0,1,3,2,3,3,4,4,3,3,3,3,3,3,3,3,,Govt,1,0,0,0,Govt,1,0,0,9,62.26,36.51,25.75,25.75,1,1
2023-09-24,Bono,1,Urban,Jaman North,1,1,1,1,0,19,Male,Secondary,95,Urban,0,1,3,3,3,3,3,4,4,4,3,3,3,3,3,3,3,Non-voter,0,0,0,1,,,1,0,7,47.03,50.96,-3.93,3.93,0,0
2023-09-24,Bono,1,Rural,Jaman North,1,1,1,1,0,38,Female,Primary,1,Rural,1,0.833333333333333,1,2,2,3,3,4,3,1,1,2,1,1,1,2,,Opp,0,1,0,0,Opp,0,0,0,7,47.03,50.96,-3.93,3.93,0,0
2023-09-26,Greater Accra,0,Urban,Adentan,1,1,1,,0,39,Male,Secondary,95,Rural,1,0.166666666666667,3,2,3,3,3,3,3,3,3,3,2,2,3,3,3,Govt,1,0,0,0,Govt,1,1,1,9,45.87,53.35,-7.48,7.48,0,0
2023-09-27,Bono,1,Urban,Sunyani East,1,1,,,0,58,Female,Primary,3,Urban,0,1,1,2,1,3,,1,2,2,1,2,1,1,2,2,,DKs,0,0,1,0,,,0,0,10,65.09,34.01,31.08,31.08,1,1
2023-09-22,Bono,1,Rural,Banda,1,,,,1,23,Female,Primary,95,Rural,0,1.83333333333333,1,1,1,1,1,1,1,1,1,1,1,1,1,2,,Opp,0,1,0,0,,,0,1,5,50.98,48.22,2.76,2.76,1,0
2023-09-20,Bono,1,Rural,Dormaa West,0,0,0,0,0,27,Female,Primary,1,Urban,0,1,2,1,2,2,2,2,2,2,2,2,1,1,1,3,1,DKs,0,0,1,0,Opp,0,0,0,3,45.49,53.64,-8.15,8.15,0,0
2023-09-21,Bono,1,Rural,Banda,,,,,1,47,Female,None,95,Rural,1,0.833333333333333,3,3,3,3,3,4,3,3,2,3,1,1,3,3,,Govt,1,0,0,0,Opp,0,0,0,4,50.98,48.22,2.76,2.76,1,0
2023-09-25,Bono,1,Rural,Jaman North,1,1,1,1,0,20,Female,Secondary,1,Rural,0,0.833333333333333,3,2,3,3,3,4,4,2,3,2,1,1,3,3,,Non-voter,0,0,0,1,,,0,0,8,47.03,50.96,-3.93,3.93,0,0
2023-09-23,Bono,1,Rural,Tain,1,,,,1,41,Female,None,95,Rural,0,0.8,1,2,1,3,2,4,3,1,1,1,2,1,3,3,,Opp,0,1,0,0,Opp,0,0,1,6,46.81,50.84,-4.03,4.03,0,0
2023-09-23,Greater Accra,0,Urban,Adentan,1,,,,1,19,Male,Secondary,1,Rural,1,0,3,3,3,3,3,4,3,3,3,,3,3,2,3,3,Non-voter,0,0,0,1,Govt,1,1,0,6,45.87,53.35,-7.48,7.48,0,0
